Day ,Date       ,Task Name / Details  ,What To Do (Daily Task)                                    ,Learning Outcome                                      ,Resources                                                                                ,Status ,Comments / Noted                   ,Score (10/?) ,Tasks Assigned By ,Assessment / Links
  1 ,2025-11-02 ,Salesforce Overview  ,Read about Salesforce Cloud & Editions                     ,Understand what Salesforce is and its CRM model       ,"https://trailhead.salesforce.com/content/learn/modules/starting-with-salesforce",done,Completed Trailhead module 1       ,10/10        ,Self              ,https://trailhead.salesforce.com/
  2 ,2025-11-03 ,Org Setup            ,Create a free Developer Org and explore Setup menu         ,Learn to navigate Setup and Object Manager            ,"https://developer.salesforce.com/signup",donee,Org created and verified           ,9/10         ,Self              ,https://login.salesforce.com/
  3 ,2025-11-04 ,Objects & Fields     ,Create a custom object 'Laptop' and add 5 custom fields    ,Understand standard vs custom objects and field types ,"https://trailhead.salesforce.com/content/learn/modules/data_modeling",pending,Need to review field data types    ,7/10         ,Self              ,https://github.com/raihankhan/
  4 ,2025-11-05 ,Validation Rules     ,Add validation rules to Laptop object                      ,Learn to enforce data quality using formulas          ,"https://trailhead.salesforce.com/content/learn/modules/validation_rules",       ,Pending test of numeric conditions ,             ,Self              ,
  5 ,2025-11-06 ,Security Model       ,Create roles and profiles to control access                ,Understand record visibility and sharing              ,"https://trailhead.salesforce.com/content/learn/modules/data_security",       ,                                   ,Self         ,,
  6 ,2025-11-07 ,Flow Builder         ,Build a Record-Triggered Flow to send welcome email        ,Learn automation using Flow                           ,"https://trailhead.salesforce.com/content/learn/modules/flows_basics",       ,                                   ,Self         ,,
  7 ,2025-11-08 ,Reports & Dashboards ,Create a summary report and dashboard                      ,Visualize Salesforce data with reports                ,"https://trailhead.salesforce.com/content/learn/modules/reports_dashboards",       ,                                   ,Self         ,,
  8 ,2025-11-09 ,Apex Basics          ,Write a simple Apex class and execute SOQL                 ,Learn Apex syntax and data manipulation               ,"https://trailhead.salesforce.com/content/learn/modules/apex_basics",       ,                                   ,Self         ,,
  9 ,2025-11-10 ,Triggers             ,Write a before insert trigger on Laptop__c                 ,Understand trigger events and execution order         ,"https://trailhead.salesforce.com/content/learn/modules/apex_triggers",       ,                                   ,Self         ,,
 10 ,2025-11-11 ,LWC Basics           ,Create a Hello World Lightning Web Component               ,Learn component structure and deployment              ,"https://trailhead.salesforce.com/content/learn/modules/lightning-web-components-basics",       ,                                   ,Self         ,,
 11 ,2025-11-12 ,API Integration      ,Call Salesforce REST API using Postman                     ,Understand integration basics                         ,"https://trailhead.salesforce.com/content/learn/modules/api_basics",       ,                                   ,Self         ,,
 12 ,2025-11-13 ,SFDX Deployment      ,Deploy code using Salesforce CLI (SFDX)                    ,Learn version control & deployment                    ,"https://trailhead.salesforce.com/content/learn/modules/sfdx_cli",       ,                                   ,Self         ,,
 13 ,2025-11-14 ,CI/CD Setup          ,Automate deployment using GitHub Actions                   ,Understand CI/CD pipeline integration                 ,"https://trailhead.salesforce.com/content/learn/trails/devops-center",       ,                                   ,Self         ,,
 14 ,2025-11-15 ,Final Project        ,Build a mini Salesforce app combining Admin + Dev concepts ,Showcase end-to-end Salesforce knowledge              ,"https://trailhead.salesforce.com/",       ,                                   ,Self         ,,
